_id,distance,gateway,major,majorminor,minor,rssi,timestamp,type,uuid,tag,specificTag
DC0D300F720A,10.7977516232771,F3499FDED02E,12303,1230329194,29194,-91.0,1683732876,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
C630A073DD08,3.862072457802375,F3499FDED02E,10002,100029586,9586,-77.0,1683732876,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,3.686945064519575,F3499FDED02E,10004,1000454480,54480,-77.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,17.11328304161781,F3499FDED02E,10004,1000422222,22222,-97.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,1.7113283041617808,F3499FDED02E,10002,100029571,9571,-67.0,1683732876,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,11.659144011798316,F3499FDED02E,10004,1000411111,11111,-92.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,0.9000474691703155,E06B09BAC79F,10002,100029571,9571,-57.5,1683732877,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
DC0D300F7252,1.5848931924611136,E06B09BAC79F,10065,100656666,6666,-81.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F720A,2.154434690031884,E06B09BAC79F,12303,1230329194,29194,-70.0,1683732877,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
C630A073DD08,0.5211783800868679,E06B09BAC79F,10002,100029586,9586,-51.5,1683732877,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,0.5843414133735176,E06B09BAC79F,10004,1000454480,54480,-53.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,1.1659144011798317,E06B09BAC79F,10004,1000422222,22222,-62.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
087CBF000028,1.5848931924611136,E06B09BAC79F,10004,1000411111,11111,-66.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,3.4246113623439776,F3499FDED02E,10002,100029571,9571,-76.0,1683732877,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
DC0D300F720A,11.659144011798316,F3499FDED02E,12303,1230329194,29194,-92.0,1683732877,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
C630A073DD08,1.4219093021276406,F3499FDED02E,10002,100029586,9586,-64.5,1683732877,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,2.9286445646252366,F3499FDED02E,10004,1000454480,54480,-74.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,6.812920690579613,F3499FDED02E,10004,1000422222,22222,-85.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
087CBF000028,3.981071705534972,F3499FDED02E,10004,1000411111,11111,-78.0,1683732877,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
04EE03C47286,0.8971641173621407,E06B09BAC79F,10004,1000454480,54480,-58.5,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,2.1116073678356804,E06B09BAC79F,10004,1000422222,22222,-69.5,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,0.8984358728300125,E06B09BAC79F,10002,100029571,9571,-58.0,1683732878,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
DC0D300F7252,2.51188643150958,E06B09BAC79F,10065,100656666,6666,-87.0,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F720A,2.51188643150958,E06B09BAC79F,12303,1230329194,29194,-72.0,1683732878,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
C630A073DD08,0.6832997994699173,E06B09BAC79F,10002,100029586,9586,-55.0,1683732878,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,1.9952623149688795,E06B09BAC79F,10004,1000411111,11111,-69.0,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
04EE03C47286,5.026642049538707,F3499FDED02E,10004,1000454480,54480,-81.0,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,10.266268232592246,F3499FDED02E,10004,1000422222,22222,-90.0,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,3.834008385027274,F3499FDED02E,10002,100029571,9571,-77.5,1683732878,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
DC0D300F7252,1.4677992676220697,F3499FDED02E,10065,100656666,6666,-80.0,1683732878,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F720A,10.0,F3499FDED02E,12303,1230329194,29194,-90.0,1683732878,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
